item,item_transitivity,mean_sentence_transitivity,transitivity_binned,mean_sdi,mean_path_similarity_score,mean_embedding_score,gesturer,Alternate,Manipulation,Tool,Movement,Manner,HS1Code,HS2Code,finger_complexity,joint_complexity,flexion,nsf_flexion,selected_fingers,aperture_change,nsf_thumb,thumb_flex,two_handed
drop-ball-TR,1,0.5417,0,1.773739073,0.08907894737,5.6559618,IP,1,1,0,0,0,BTkc B^T- B;/,,1,4,5,0,imrpthumb,1,1,0,0
paper-airplane-land-IN,0,0.025,0,2.120326197,0.2771491228,7.162644977,NP,0,0,0,1,0,JT-;#,B;/,2,1,1,1,pthumb,0,0,-1,1
shake-shaker-TR,1,1,1,0.9811063372,0.5673245614,3.156109033,HO,0,1,0,0,0,BTkc,B^T,1,3,5,0,imrpthumb,0,1,0,1
shaving-cream-spray-IN,0,0.8421,1,2.378620199,0.132390699,7.446272831,NP,1,0,0,1,1,UT;# BTk BTx BT-^c,B;/,3,2,1,1,imthumb,1,2,1,1
spin-bread-TR,1,0.7583,1,1.816725185,0.3328947368,5.644680611,CM,1,1,0,0,0,B^T- Bkc;/,1T-;#,1,3,1,0,imrpthumb,1,-1,-1,1
toy-crawl-IN,0,0.075,0,1.687747836,0.3195614035,5.848460267,HO,0,0,0,1,1,B^T,B;/,1,2,1,0,imrpthumb,0,1,1,1
stick-break-IN,0,0.1,0,1.87783824,0.2565350877,5.429527822,HO,1,0,0,0,0,B^T-,BT^c,1,2,1,0,imrpthumb,0,-1,-1,1
adjust-picture-TR,1,0.75,1,2.466577144,0.1133659148,7.020712126,RVN,1,1,0,0,0,B^T-,B^T-,1,2,1,0,imrpthumb,0,-1,-1,1
whirly-gig-drop-IN,0,0.0526,0,2.293412589,0.2062559176,6.974265217,CM,0,0,0,1,1,1T-;#,,2,1,1,1,ithumb,0,0,-1,0
cut-bread-TR,1,0.95,1,1.73398357,0.3604072682,6.058704303,RVN,0,1,1,0,0,1[;To;#,B^T- Bc;/,3,2,2,1,ithumb,0,2,1,1
toy-crawl-IN,0,0.05,0,2.508825821,0.1944561404,7.141822883,RVN,0,0,0,1,1,BT^c,,1,2,5,0,imrpthumb,0,1,0,0
take-lid-off-TR,1,1,1,1.785545253,0.2493157895,6.418565475,RVN,0,1,0,0,0,BT^c BT> 1To;/,Bc;#,2,2,5,0,imrpthumb,0,1,0,1
close-microwave-door-TR,1,0.85,1,2.016153717,0.2038548644,6.160444164,CM,1,1,0,0,0,B;/,,2,1,1,-1,imrp,0,-1,1,0
crush-can-TR,1,1,1,2.268535092,0.2050075188,8.010073185,RVN,0,1,0,0,0,BT^( B^T-,BT^( B^T-,1,2,4,0,imrpthumb,0,1,0,1
roll-out-TR,1,1,1,2.385428641,0.152744266,7.447334375,RVN,0,1,0,0,0,B^T-,B^T-,1,2,1,0,imrpthumb,0,-1,-1,1
take-lid-off-TR,1,0.9083,1,1.919496141,0.1413684211,6.390955655,CS,0,1,0,0,0,BT-kc,BT^c,1,3,5,0,imrpthumb,0,-1,-1,1
approach-coatrack-IN,0,0.7,1,2.516315127,0.1597719298,5.722477285,IP,0,0,0,1,0,UT(;#,Bc;/,2,2,4,1,imthumb,0,2,1,1
push-toy-in-box-TR,1,0.7778,1,2.229051242,0.2258002763,6.663319362,CM,0,1,0,0,0,B;/,,2,1,1,-1,imrp,0,-1,1,0
measure-book-TR,1,0.95,1,2.582995028,0.09188283208,7.129083666,NP,0,1,1,0,0,1@;T-;#,BT@,3,1,7,1,ithumb,0,0,1,1
put-cup-on-coaster-TR,1,0.925,1,2.636391439,0.1537452723,6.113179399,CS,0,1,0,0,0,B@;T,,2,1,7,0,imrpthumb,0,1,0,0
approach-coatrack-IN,0,0.875,1,1.592473284,0.3366188198,4.373136799,RVN,0,0,0,1,0,B^T-,,1,2,1,0,imrpthumb,0,-1,-1,0
walk-backwards-IN,0,0.15,0,2.15516335,0.2413258145,5.572070137,HO,0,0,0,1,1,B^T-,B^T-,1,2,1,0,imrpthumb,0,-1,-1,1
paper-airplane-land-IN,0,0.075,0,2.520866909,0.1740350877,7.173094561,CM,0,0,0,1,0,B^T-,,1,2,1,0,imrpthumb,0,-1,-1,0
move-box-TR,1,0.95,1,0.8387278529,0.6715789474,2.686608048,CS,1,1,0,0,0,B^T-,B^T-,1,2,1,0,imrpthumb,0,-1,-1,1
cards-scatter-IN,0,0.375,0,3.031514648,0.04343734336,7.667882251,IP,0,0,0,1,1,UT;#,B;/,2,1,1,1,imthumb,0,2,1,1
ball-hit-waterbottle-TR,1,0.6917,1,2.104776278,0.202245614,6.59212319,CM,0,0,0,1,0,Bo;/ B^T,Bo;/ B^T,2,2,6,-1,imrp,1,-1,1,1
person-bend-over-IN,0,0.275,0,2.17111553,0.1956023392,6.86287035,IP,0,0,0,0,0,B;/,B;/,2,1,1,-1,imrp,0,-1,1,1
light-turn-on-IN,0,0.386,0,2.844305327,0.07434628237,6.473161478,CM,0,0,0,0,0,BT-@ B^T-,,1,1,7,0,imrpthumb,1,-1,1,0
light-candle-TR,1,0.9233,1,2.494565067,0.1604210526,7.033233808,NP,0,1,1,0,0,B@;T- BT-k@,BTx,2,2,7,0,imrpthumb,0,-1,1,1
walk-backwards-IN,0,0.225,0,2.500138026,0.2537192982,6.87776373,CS,0,0,0,1,1,B^T-,,1,2,1,0,imrpthumb,0,-1,-1,0
pop-balloon-TR,1,0.8,1,2.227147118,0.1686528822,6.864564901,NP,0,1,1,0,0,UT>;# BT@ B^T-,BTkc BT@ B^T-,3,2,6,1,imthumb,1,2,1,1
person-bend-over-IN,0,0.3,0,2.254917598,0.1876578947,6.705125707,CS,0,0,0,0,0,B;/,B;/,2,1,1,-1,imrp,0,-1,1,1
dip-finger-in-jar-TR,1,0.8667,1,2.593031205,0.1096077694,7.452871707,RVN,0,1,0,0,0,J;#,Bc;#,2,1,1,1,p,0,1,1,1
hanger-swing-IN,0,0.2,0,2.415052122,0.2829415205,6.84065732,CM,0,0,0,1,1,BT-^c,,1,2,5,0,imrpthumb,0,-1,-1,0
fan-turn-IN,0,0.675,0,2.598799444,0.0816523126,6.548397543,IP,1,0,0,1,0,U<;#,,2,2,3,1,im,0,1,1,0
tape-measurer-bend-half-IN,0,0.0167,0,2.284167449,0.2501741855,7.300086816,NP,0,0,0,0,0,BT,BT@,1,1,1,0,imrpthumb,0,1,1,1
toy-skitter-IN,0,0.3333,0,2.871649625,0.1165200501,7.966930499,CS,0,0,0,1,1,B^T BT^x,,1,3,1,0,imrpthumb,0,1,1,0
march-IN,0,0.325,0,2.623521756,0.1895781499,7.523259776,CM,0,0,0,1,1,B;/,B;/,2,1,1,-1,imrp,0,-1,1,1
toy-appear-in-box-IN,0,0.25,0,2.941616953,0.08806140351,7.222493257,CM,0,0,0,1,0,BTo B^T-,B^T-,1,2,6,0,imrpthumb,1,1,0,1
racecar-into-box-IN,0,0.4667,0,2.841460038,0.09956015038,6.727339562,IP,0,0,0,1,0,U;#,,2,1,1,1,im,0,1,1,0
